hour,cases
0,5572
1,2439
2,2287
3,1719
4,1300
5,1501
6,2377
7,5588
8,5556
9,4232
10,4442
11,4243
12,4929
13,4483
14,4530
15,5574
16,7478
17,8815
18,8291
19,7566
20,5941
21,4583
22,3709
23,3069
